td_id,spotsID,scenicSpots,time,day,people,cost
9133125,12711,云南,出发时间/2018-01-27,出行天数/16 天,人物/ 和朋友,人均费用/6000RMB
8907130,12711,云南,出发时间/2018-04-01,出行天数/7 天,人物/其它,人均费用/3750RMB
6143048,12711,云南,出发时间/2016-08-07,出行天数/19 天,人物/ 和朋友,人均费用/7000RMB
18829828,12711,云南,出发时间/2020-01-07,出行天数/7 天,人物/情侣/夫妻,人均费用/3500RMB
11715594,12711,云南,出发时间/2015-04-28,出行天数/27 天,人物/一个人,人均费用/11000RMB
18684391,12711,云南,出发时间/2019-04-15,出行天数/7 天,人物/情侣/夫妻,人均费用/5000RMB
8324506,12711,云南,出发时间/2017-12-29,出行天数/4 天,人物/一个人,人均费用/2500RMB
11750182,12711,云南,出发时间/2019-01-29,出行天数/10 天,人物/家庭出游,人均费用/4300RMB
16862044,12711,云南,出发时间/2019-07-18,出行天数/23 天,人物/家庭出游,null
16720723,12711,云南,出发时间/2016-03-12,出行天数/9 天,人物/ 和朋友,人均费用/5000RMB
18445030,12711,云南,出发时间/2019-02-02,出行天数/9 天,人物/情侣/夫妻,人均费用/5000RMB
3271173,12711,云南,出发时间/2014-12-26,出行天数/7 天,人物/ 和朋友,人均费用/3500RMB
18683944,12711,云南,null,null,null,null
6329402,12711,云南,出发时间/2016-02-08,出行天数/10 天,人物/ 和朋友,null
12446178,12711,云南,出发时间/2019-01-13,出行天数/9 天,人物/家庭出游,null
10834542,12711,云南,出发时间/2018-05-13,出行天数/7 天,人物/一个人,人均费用/2000RMB
3351552,12711,云南,出发时间/2013-09-04,出行天数/8 天,人物/情侣/夫妻,人均费用/4500RMB
18557479,12711,云南,出发时间/2020-01-14,出行天数/7 天,人物/其它,人均费用/3200RMB
13386379,12711,云南,出发时间/2017-07-05,出行天数/16 天,人物/一个人,人均费用/7860RMB
17919700,12711,云南,出发时间/2019-11-10,出行天数/8 天,人物/带孩子,人均费用/5000RMB
5633651,12711,云南,出发时间/2014-07-14,出行天数/8 天,人物/其它,null
7724993,12711,云南,出发时间/2017-06-20,出行天数/26 天,人物/一个人,人均费用/8000RMB
16922041,12711,云南,出发时间/2018-05-01,出行天数/8 天,人物/情侣/夫妻,人均费用/5000RMB
18561838,12711,云南,出发时间/2019-12-13,出行天数/15 天,人物/一个人,人均费用/13000RMB
