td_id,spotsID,scenicSpots,time,day,people,cost
19227571,12711,云南,null,null,null,null
19201888,12711,云南,2020-04-12,1,情侣/夫妻,60RMB
18565243,12711,云南,2019-12-16,7,家庭出游,2500RMB
19234294,12711,云南,2019-10-07,7,一个人,3000RMB
19212961,12711,云南,2019-03-16,10, 和朋友,12000RMB
18840781,12711,云南,2018-08-12,9,其它,7000RMB
19235461,12711,云南,2018-09-07,8,情侣/夫妻,7000RMB
18812227,12711,云南,2019-09-28,12, 和朋友,6700RMB
18829165,12711,云南,2019-05-21,8,情侣/夫妻,5000RMB
19235338,12711,云南,2016-03-12,9, 和朋友,5000RMB
19006357,12711,云南,2019-08-12,10,家庭出游,null
19199740,12711,云南,2019-06-10,9,情侣/夫妻,5000RMB
19235047,12711,云南,2018-10-30,12, 和朋友,5000RMB
19080970,12711,云南,2019-09-30,9, 和朋友,4500RMB
18706681,12711,云南,2019-12-26,8,家庭出游,2900RMB
19234957,12711,云南,2018-09-01,7, 和朋友,3200RMB
19189696,12711,云南,2018-09-01,7, 和朋友,3200RMB
19200970,12711,云南,2018-02-20,6, 和朋友,6000RMB
18672058,12711,云南,2020-01-04,15,一个人,7500RMB
19189921,12711,云南,2018-09-07,8,情侣/夫妻,7000RMB
19123444,12711,云南,2019-09-29,9,家庭出游,null
19203463,12711,云南,null,null,null,null
19227508,12711,云南,null,null,null,null
18788278,12711,云南,2019-03-21,6,其它,2000RMB
18628276,12711,云南,2019-08-05,8,家庭出游,null
18582301,12711,云南,2019-03-15,19, 和朋友,4800RMB
5557466,12711,云南,2016-06-09,20,一个人,6000RMB
19025149,12711,云南,2019-05-30,11, 和朋友,3500RMB
18549703,12711,云南,2020-01-17,7, 和朋友,6000RMB
19234924,12711,云南,2018-09-15,10,家庭出游,5000RMB
18887170,12711,云南,null,null,null,null
19235191,12711,云南,2019-09-28,12, 和朋友,6700RMB
19235011,12711,云南,2019-09-28,12, 和朋友,6700RMB
18762340,12711,云南,2019-10-29,7,情侣/夫妻,null
18517069,12711,云南,2017-11-21,9,一个人,null
19235095,12711,云南,2018-02-20,6, 和朋友,6000RMB
